wait,correctSequence,userInput
1,['R' 'O' 'B'],['R' 'O' 'B']
1,['G' 'X' 'V'],['G' 'X' 'V']
1,['V' 'S' 'K'],['V' 'S' 'K']
1,['Q' 'N' 'C'],['Q' 'N' 'C']
1,['S' 'U' 'S'],['S' 'U' 'S']
1,['Y' 'T' 'P'],['Y' 'T' 'P']
1,['H' 'Y' 'L' 'D'],['H' 'Y' 'L' 'D']
1,['N' 'V' 'E' 'Q'],['N' 'V' 'E' 'Q']
1,['R' 'B' 'Y' 'B'],['R' 'B' 'Y' 'B']
1,['S' 'T' 'S' 'V'],['S' 'T' 'S' 'V']
1,['G' 'N' 'S' 'X'],['G' 'N' 'S' 'X']
1,['X' 'C' 'P' 'Q'],['X' 'C' 'P' 'Q']
1,['O' 'O' 'T' 'T' 'J'],['O' 'O' 'T' 'T' 'J']
1,['Z' 'W' 'C' 'A' 'U'],['Z' 'W' 'C' 'A' 'U']
1,['O' 'B' 'J' 'X' 'T'],['O' 'B' 'J' 'X' 'T']
1,['S' 'G' 'X' 'P' 'R'],['S' 'G' 'X' 'P' 'R']
1,['N' 'M' 'O' 'P' 'O'],['N' 'M' 'O' 'P' 'O']
1,['N' 'A' 'T' 'Q' 'Z'],['N' 'A' 'T' 'Q' 'Z']
1,['W' 'E' 'I' 'O' 'P' 'Q'],['W' 'E' 'I' 'O' 'P' 'Q']
1,['P' 'C' 'E' 'V' 'P' 'P'],['P' 'C' 'E' 'V' 'P' 'P']
1,['E' 'M' 'V' 'M' 'T' 'U'],['E' 'M' 'V' 'M' 'T' 'U']
1,['J' 'D' 'L' 'U' 'V' 'Y'],['J' 'D' 'L' 'U' 'V' 'Y']
1,['P' 'L' 'H' 'X' 'F' 'L'],['P' 'L' 'H' 'X' 'F' 'L']
1,['D' 'M' 'J' 'F' 'U' 'X'],['D' 'M' 'J' 'F' 'U' 'X']
1,['Z' 'P' 'F' 'Z' 'K' 'Y' 'U'],['Z' 'P' 'F' 'Z' 'K' 'Y' 'U']
1,['T' 'X' 'I' 'X' 'L' 'C' 'T'],['T' 'X' 'L' 'X' 'I' 'C' 'T']
1,['R' 'X' 'S' 'D' 'U' 'V' 'V'],['R' 'X' 'D' 'V' 'U' 'V' 'V']
1,['T' 'D' 'Y' 'H' 'N' 'P' 'U'],['T' 'D' 'Y' 'H' 'N' 'P' 'U']
1,['S' 'G' 'J' 'I' 'G' 'U' 'P'],['S' 'G' 'J' 'I' 'G' 'U' 'P']
1,['Y' 'V' 'E' 'O' 'X' 'T' 'W'],['Y' 'V' 'E' 'O' 'X' 'T' 'V']
1,['B' 'X' 'U' 'D' 'S' 'D' 'I' 'I'],['B' 'X' 'U' 'D' 'X' 'I' 'I' 'I']
1,['N' 'Y' 'Q' 'W' 'T' 'P' 'E' 'Q'],['N' 'Y' 'Q' 'W' 'T' 'P' 'E' 'C']
1,['T' 'N' 'F' 'M' 'I' 'X' 'E' 'I'],['T' 'N' 'F' 'M' 'M' 'X' 'X' 'I']
1,['J' 'K' 'E' 'N' 'M' 'Y' 'C' 'M'],['J' 'E' 'K' 'N' 'M' 'Y' 'K' 'N']
1,['Q' 'Q' 'L' 'T' 'U' 'B' 'Z' 'W'],['Q' 'Q' 'L' 'T' 'U' 'B' 'T' 'W']
1,['O' 'N' 'M' 'Y' 'L' 'T' 'X' 'F'],['O' 'N' 'M' 'Y' 'N' 'T' 'L' 'F']
