wait,correctSequence,userInput
0.5,"['14' '42' '34' '81' '21' '84' '88' '35' '32' '41' '93' '26' '61' '82'
 '10' '54' '46' '67' '90' '23']",['21' '41' '81' '88' '84' '14' '54' '10' '82']
0.5,"['64' '94' '78' '58' '15' '77' '72' '23' '25' '42' '65' '19' '38' '11'
 '20' '62' '54' '83' '30' '75']",['77' '52' '75' '54' '20' '94' '78']
0.5,"['86' '37' '50' '60' '61' '53' '44' '73' '97' '65' '51' '13' '18' '81'
 '77' '70' '66' '75' '11' '52']",['51' '50' '52' '61' '60' '71' '81' '82']
0.5,"['88' '24' '14' '34' '36' '10' '94' '79' '59' '64' '86' '44' '87' '30'
 '21' '97' '71' '35' '37' '53']",['53' '14' '24' '34' '64' '44' '37']
1.0,"['61' '50' '42' '88' '99' '26' '82' '83' '93' '63' '34' '15' '67' '71'
 '46' '77' '45' '56' '14' '33']",['33' '81' '82' '83' '14' '33' '56' '45' '77' '46']
1.0,"['79' '66' '65' '23' '86' '36' '74' '88' '45' '30' '84' '34' '96' '92'
 '11' '43' '19' '48' '89' '39']",['796' '66' '65' '23' '86' '36' '74' '30' '84' '34' '92']
1.0,"['51' '20' '15' '63' '44' '37' '23' '45' '90' '58' '47' '43' '74' '59'
 '87' '83' '14' '93' '39' '57']",['44' '47' '23' '74' '45' '57' '39' '93' '14']
1.0,"['35' '52' '74' '65' '88' '69' '11' '63' '46' '39' '90' '71' '24' '73'
 '15' '54' '40' '26' '28' '30']",['26' '28' '30' '53' '90' '39' '11' '70' '40' '54' '15']
1.5,"['95' '67' '59' '25' '42' '63' '12' '62' '33' '50' '70' '78' '92' '93'
 '43' '72' '54' '48' '45' '39']",['45' '39' '72' '92' '93' '62' '63' '67' '33']
1.5,"['52' '24' '50' '45' '82' '70' '28' '58' '79' '61' '95' '63' '13' '19'
 '40' '93' '68' '54' '33' '48']",['54' '33' '48' '13' '68' '52' '93' '19' '63']
1.5,"['43' '19' '73' '78' '34' '41' '58' '21' '33' '99' '49' '30' '85' '74'
 '25' '27' '28' '72' '14' '92']",['92' '14' '28' '27' '85' '30' '49' '99' '33' '21' '34']
1.5,"['60' '33' '39' '51' '43' '64' '69' '65' '84' '26' '89' '47' '56' '29'
 '80' '67' '10' '85' '63' '30']",['5' '85' '63' '30' '10' '67' '80' '29' '33' '39' '51']
2.0,"['46' '27' '59' '68' '10' '57' '45' '35' '77' '87' '95' '73' '56' '44'
 '49' '99' '75' '53' '83' '43']",['53' '43' '83' '77' '78' '87' '99' '27' '59' '68' '10']
2.0,"['54' '70' '16' '76' '28' '90' '46' '60' '44' '49' '52' '68' '32' '41'
 '92' '53' '99' '97' '64' '19']",['19' '99' '49' '97' '53' '92' '90' '44' '41' '32' '68']
2.0,"['45' '99' '59' '28' '73' '42' '71' '78' '26' '85' '93' '56' '19' '38'
 '86' '30' '18' '50' '63' '49']",['63' '49' '73' '99' '50' '18' '30' '86' '38' '19']
2.0,"['43' '20' '46' '82' '36' '52' '74' '23' '73' '94' '28' '92' '89' '33'
 '22' '35' '16' '40' '78' '41']",['78' '41' '33' '22' '35' '47' '43' '92' '28' '94']
4.0,"['45' '48' '44' '91' '96' '80' '14' '90' '94' '47' '75' '43' '89' '22'
 '18' '76' '62' '79' '19' '35']",['35' '19' '79' '76' '62' '43' '44' '45' '47' '48' '86' '96']
4.0,"['44' '69' '37' '60' '86' '29' '32' '85' '72' '66' '99' '96' '30' '43'
 '70' '79' '16' '28' '11' '94']",['16' '28' '11' '94' '70' '79' '99' '44' '67' '43']
4.0,"['61' '49' '89' '29' '94' '20' '92' '33' '95' '70' '93' '87' '66' '81'
 '60' '39' '69' '76' '30' '25']",['25' '30' '79' '49' '39' '29' '33' '94' '93' '96' '76' '60' '70' '80']
4,"['74' '59' '24' '14' '66' '75' '98' '60' '69' '43' '82' '49' '56' '46'
 '85' '52' '37' '38' '94' '33']",['37' '33' '38' '14' '24' '74' '56' '49' '85' '98']
