wait,correctSequence,userInput
1,['der' 'hus' 'med' 'far' 'har' 'der' 'ben' 'mor' 'top' 'hus'],['DER' 'HUS' 'MED' 'FAR' 'HAR' 'DER' 'BEN' 'MOR' 'TOP' 'HUS']
1,['dig' 'hun' 'jeg' 'til' 'ned' 'fra' 'kan' 'pen' 'sol' 'den'],['DIG' 'HUN' 'MIG' 'TIL' 'FRA' 'NED' 'SOL' 'PEN' 'DEN' '']
1,['sti' 'kan' 'gul' 'sig' 'ned' 'bus' 'mor' 'hus' 'top' 'mus'],['STI' 'KAN' 'GUL' 'SIG' 'NED' 'BUS' 'MOR' 'HUS' 'MUS' 'S']
1,['øje' 'det' 'mig' 'gul' 'bog' 'for' 'fra' 'den' 'hun' 'sig'],['ØJE' 'DET' 'GUL' 'MIG' 'BOG' 'FOR' 'FRA' 'DEN' 'HUN' 'SIG']
1,['bog' 'gul' 'kan' 'top' 'arm' 'gæs' 'kan' 'fra' 'den' 'tag'],['BOG' 'GUL' 'KAN' 'TOP' 'ARM' 'GÆS' 'KAN' 'FRA' 'DEN' 'TAG']
1,['arm' 'det' 'lys' 'pen' 'ged' 'gæs' 'som' 'der' 'dør' 'bus'],['ARM' 'DEN' 'LYS' 'PEN' 'GED' 'GÆS' 'SOM' 'DER' 'DØR' 'BUS']
1,['den' 'man' 'mig' 'med' 'lys' 'dør' 'øje' 'mus' 'mig' 'sol'],['DEN' 'MAN' 'MIG' 'DØR' 'ØJE' 'MUS' 'MIG' '' '' '']
1,['dig' 'træ' 'her' 'far' 'dør' 'hun' 'sti' 'ned' 'dør' 'mus'],['DIG' 'TRÆ' 'HER' 'FAR' 'DØR' 'HUN' 'STI' 'NED' 'DØR' 'MUS']
1,['ged' 'jeg' 'blå' 'her' 'har' 'vor' 'træ' 'arm' 'for' 'for'],['GED' 'HEG' 'BLÅ' 'HER' 'HAR' 'VOR' 'TRÆ' 'ARM' 'FOR' 'FOR']
1,['sig' 'kat' 'hun' 'træ' 'vej' 'jeg' 'hus' 'sol' 'bil' 'sig'],['SIG' 'KAT' 'HUN' 'TRÆ' 'VEJ' 'JEG' 'HUS' 'SOL' 'BIL' 'SIG']
1,['han' 'træ' 'øje' 'fra' 'gul' 'top' 'mor' 'den' 'vej' 'kan'],['HAN' 'TRÆ' 'ØJE' 'GUL' '' 'TOP' 'MOR' 'DEN' 'VEJ' 'KAN']
1,['jeg' 'far' 'hus' 'mus' 'sol' 'der' 'man' 'bog' 'dig' 'rød'],['JEG' 'FAR' 'HUS' 'MUS' 'SOL' 'MAN' 'DER' 'BOG' '' 'RØD']
1,['for' 'fra' 'ged' 'and' 'pen' 'han' 'mor' 'sti' 'til' 'bus'],['FOR' 'FRA' 'AND' 'GED' 'PEN' 'HAN' 'MOR' 'STI' 'BUS' '']
1,['blå' 'kat' 'arm' 'har' 'jeg' 'øje' 'dør' 'gæs' 'den' 'lys'],['BLÅ' 'KAT' 'ARM' 'HAR' 'ØJE' 'JEG' 'DØR' 'GÆS' 'DEN' 'LYS']
1,['far' 'mor' 'gul' 'hus' 'mus' 'pen' 'tag' 'vej' 'der' 'sol'],['FAR' 'MOR' '' 'HUS' 'MUS' 'PEN' 'TAG' 'VEJ' 'DER' 'SOL']
1,['kan' 'vil' 'var' 'for' 'fra' 'her' 'det' 'den' 'som' 'ned'],['KAN' 'VIL' 'VAR' 'FRA' 'FOR' 'HER' 'DET' 'DEN' '' 'NED']
1,['bus' 'arm' 'ben' 'fod' 'tag' 'top' 'hus' 'øje' 'ged' 'rød'],['BUS' 'ARM' 'BEN' 'FOD' 'TAG' '' 'HUS' 'ØJE' 'GED' 'RØD']
1,['hun' 'han' 'mig' 'dig' 'sig' 'mor' 'far' 'vor' 'den' 'der'],['HUN' 'HAN' 'MIG' 'SIG' 'DIG' 'MOR' 'FAR' 'VOR' '' 'DER']
1,['sti' 'vej' 'bil' 'bus' 'træ' 'gæs' 'and' 'tag' 'pen' 'lys'],['STI' 'VEJ' 'BUS' 'BIL' 'TRÆ' 'GÆS' 'AND' 'TAG' 'PEN' '']
1,['sol' 'gul' 'rød' 'blå' 'lys' 'for' 'fra' 'til' 'ned' 'ind'],['SOL' 'GUL' 'RØD' 'BLÅ' 'LYS' 'FRA' 'FOR' '' 'NED' 'IND']
